Product,"Pig Iron, Exw-Durgapur, India","Pig Iron, DAP-Ludhiana, India","Sponge Iron, CDRI, Exw-Rourkela, India","Sponge Iron, PDRI, Exw-Raipur, India","Melting Scrap, DAP-Mumbai, India","Ship cutting plate, Exy-Alang, India","Billet Index, Exw-Raipur, India","Rebar, Exy-Mumbai, India","Rebar, Exy-Mumbai, India","Rebar, Exw-Mumbai, India","Wire Rod, Exw-Jharkhand, India","Wire Rod, Exw-Raipur, India","HRC, Exy-Mumbai, India","HRC, CFR West Coast, India","HRC Index, FOB Main Port, India (destination ME & S. E. Asia)","CRC, Exy-Mumbai, India","HR Plate, Exy-Mumbai, India","ERW Pipe (HR Coil based), Exy-Mumbai, India","Aluminium Tense Scrap, Exy-Delhi, India","Aluminium Ingot ADC12, Exw-Delhi NCR, India","Copper Armature Scrap, Exy-Delhi, India","Copper Primary CC Wire Rods (CCR), Exw-Delhi, India","Zinc Special High Grade Ingot, Exw-Delhi, India","Lead Remelted Ingot, Exw-Delhi, India","Stainless Steel 304 Grade, HRC, Exw-Mumbai, India","Stainless Steel 316 Grade, HRC, Exw-Mumbai, India"
Grade,Steel Grade,Foundry Grade,"Mix (70% Lumps, 30% Fines), FeM 80% (+/-1)","Lumps, FeM 80%, +/-1",HMS(80:20),"HMS(80:20), Ship Breaking","100x100mm, IS 2831","12-32mm, BF Route, IS 1786 Fe 550D","12-32mm, BF Route , IS 1786 Fe 500D","12-25mm, IF Route, Fe 500, IS 1786","5.5-6.0mm, Wire Rod, BF Route, SAE 1008, Low Carbon","5.5 mm, SWRY 14 LC Gr 3, Induction route","2.5-8mm / CTL, IS2062, Gr E250 Br.","2-12 mm, SS400 (China Origin)","2.5 mm, SAE1006","0.90mm / CTL, IS 513, CR1","20-40mm, Gr E250 Br.","2.2-6mm, IS 1239,IS 1161 (HR Coil Based)",Solid (Loose),Automobile OEM,Cu 99%,"8 mm, Cu 99.99%","25 Kg, Ingot, Zn 99.99%","Ingot, Pb 99%","3-25 mm, No. 1 Finish","3-25 mm, No. 1 Finish"
Commodity,Scrap & Metallics / Pig Iron,Scrap & Metallics / Pig Iron,Scrap & Metallics / Sponge Iron,Scrap & Metallics / Sponge Iron,Scrap & Metallics / Melting Scrap,Scrap & Metallics / Rerolling scrap,Steel / Semi Finished / Billet,Steel / Finish long / Rebar,Steel / Finish long / Rebar,Steel / Finish long / Rebar,Steel / Finish long / Wire Rod,Steel / Finish long / Wire Rod,Steel / Finish Flat / HRC,Steel / Finish Flat / HRC,Steel / Finish Flat / HRC,Steel / Finish Flat / CRC,Steel / Finish Flat / HR Plate,Steel / Finish long / Pipes,Non Ferrous / Aluminium / Scrap,Non Ferrous / Aluminium / Ingot,Non Ferrous / Copper / Scrap,Non Ferrous / Copper / Wire Rod,Non Ferrous / Zinc / Ingot,Non Ferrous / Lead / Ingot,Stainless Steel / Stainless Steel / Stainless Steel,Stainless Steel / Stainless Steel / Stainless Steel
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,USD,USD,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
2025-07-09,32300,38000,25150,23700,30800,31800,37200,,,43500,,41300,,,,,,,197000,,810000,910000,262000,182000,,
2025-07-10,32300,38000,25100,23700,30700,31800,37100,,,43500,,41300,,,,,,,197000,,810000,900000,266000,182000,,
2025-07-11,32250,38000,24900,23500,30700,31800,36850,49200,49200,43500,48300,41100,49700,475,,56350,54500,56000,197000,,,,266000,182000,184000,330000
2025-07-12,32300,38000,24800,23300,30500,31600,36800,,,43400,,40900,,,,,,,,,,,,,,
2025-07-14,32300,38000,24650,23350,30500,31600,36500,,,43300,,40600,,,,,,,197000,,807000,885000,265000,182000,,
2025-07-15,32300,38000,24600,23250,30500,31100,36400,,,43300,,40500,,,,,,,197000,,805000,890000,263000,182000,,
2025-07-16,32300,38000,24600,23500,30500,31500,36550,,,43300,,40700,,,,,,,197000,,803000,887000,262000,182000,,
2025-07-17,32250,38000,24700,23500,30500,31600,36700,,,43400,,40800,,,,,,,197000,,799000,885000,262000,182000,,
2025-07-18,32300,38000,24800,23700,30500,31700,36700,48400,48400,43400,47900,40800,49200,483,,56000,54500,55300,197000,,797000,883000,267000,182000,185000,331000
2025-07-19,32200,38000,24800,23700,30500,31800,36550,,,43400,,40800,,,,,,,,,,,,,,
2025-07-21,32300,38000,24800,23850,30500,31600,36700,,,43100,,40700,,,,,,,198000,,811000,905000,274000,182000,,
2025-07-22,32250,38000,24800,23900,30300,31600,36700,,,43100,,40700,,,,,,,197000,,808000,900000,273000,181500,,
2025-07-23,32450,38000,25300,24250,30500,31800,37100,,,43200,,41100,,,,,,,197000,,808000,900000,274500,181500,,
2025-07-24,32500,38300,25800,24700,30700,32000,37500,,,43500,,41800,,,,,,,197000,,808000,905000,276625,181000,,
2025-07-25,32950,38800,26500,25450,30700,32200,38150,47500,47500,43700,48300,42300,48750,503,,56050,54600,54900,197000,,804000,906000,277000,181000,184000,330000
2025-07-26,33200,39000,26350,25300,30800,32200,37850,,,43900,,42300,,,,,,,,,,,,,,
2025-07-28,33200,39200,26100,25100,30700,32200,37800,,,44100,,41900,,,,,,,197000,,800000,900000,275000,181000,,
2025-07-29,32950,39200,26000,24900,30700,32000,37500,,,44200,,41500,,,,,,,197000,,800000,898000,275000,181000,,
2025-07-30,32900,39200,25900,24800,30600,31800,37500,,,44300,,41500,,,,,,,197000,,806000,895000,276000,181000,,
2025-07-31,32850,39200,25800,24600,30700,31800,37400,,,44500,,41500,,,,,,,197000,,798000,890000,274000,181000,,
2025-08-01,32900,39200,25800,24650,30700,31800,37550,48000,48000,44600,48800,41500,49200,515,,56250,54400,54900,197000,230000,794000,888000,274000,181000,183000,330000
2025-08-02,33000,39200,26000,24850,30800,31800,37800,,,44800,,41700,,,,,,,,,,,,,,
2025-08-04,33200,39000,26500,25050,31500,32000,38100,,,45200,,42100,,,,,,,197000,,798000,894000,270500,181000,,
2025-08-05,32800,39000,26300,24950,31400,32000,38000,,,45600,,41900,,,,,,,197000,,799000,895000,274000,180000,,
2025-08-06,32700,39000,26250,24700,31300,31900,37650,,,45800,,41700,,,,,,,197000,,793000,890000,275000,181000,,
2025-08-07,32750,39000,26100,24500,31300,31800,37550,,,45800,,41400,,,,,,,197000,,796000,895000,278000,180000,,
2025-08-08,32600,39000,25850,24400,31300,31800,37500,48800,48800,45900,49300,41400,50200,505,,57000,54300,54900,197000,,796000,890000,279000,180000,185000,332000
2025-08-11,32750,39200,26200,24500,31500,31800,37750,,,45900,,41700,,,,,,,197000,,798000,900000,279000,181000,,
2025-08-12,32700,39000,26100,24350,31500,31800,37550,,,45900,,41500,,,,,,,197000,,798000,900000,279000,180000,,
2025-08-13,32750,38800,26200,24300,31500,31600,37550,,,45800,,41500,,,,,,,197000,,800000,905000,278000,181000,,
2025-08-14,32750,38800,26100,24150,31500,31600,37500,,,45800,,41300,,,,,,,197000,,798000,910000,278000,181000,,
2025-08-15,,,,,,,,48400,48400,,48300,,50000,520,510,57000,54800,54900,,,,,,,187000,335000
2025-08-18,32400,38500,26000,24200,31500,31500,37700,,,45800,,41400,,,,,,,197000,,795000,910000,275000,180000,,
2025-08-19,32600,38500,26100,24400,31500,31700,37800,,,45800,,41600,,,,,,,197000,,794000,903000,274000,181000,,
2025-08-20,32600,38500,26000,24200,31500,32000,37700,,,45700,,41400,,,,,,,197000,,790000,899000,273000,180500,,
2025-08-21,32500,38500,26000,24000,31500,31900,37500,,,45700,,41300,,,,,,,196000,,788000,896000,273500,180000,,
2025-08-22,32400,38500,25900,23800,31400,31900,37450,47900,47900,45700,47900,41100,49875,510,,57000,54400,54900,196000,,792000,890000,273000,181000,187000,335000
2025-08-23,32400,38500,25800,23650,31400,31700,37300,,,45300,,41000,,,,,,,,,,,,,,
2025-08-25,32300,38500,25700,23400,31100,31500,37050,,,45000,,40700,,,,,,,196000,,796000,895000,277000,182000,,
2025-08-26,32200,38500,25600,23300,30800,31500,37000,,,44700,,40800,,,,,,,196000,,798000,895000,277000,182000,,
2025-08-27,32250,38800,25650,23350,30800,31500,37000,,,,,40700,,,,,,,196000,,796000,900000,277000,182000,,
2025-08-28,32350,38800,25600,23200,30800,31500,36800,,,44800,,40700,,,,,,,196000,,794000,900000,274500,182000,,
2025-08-29,32250,38800,25600,23150,30800,31400,36600,47300,47300,44800,47900,40400,49600,505,510,56900,54600,54800,196000,,796000,900000,278500,183000,189500,336000
2025-08-30,32250,38800,25600,23100,30700,31400,36500,,,44800,,40300,,,,,,,,,,,,,,
2025-09-01,32200,38800,25500,23200,30900,31600,36600,,,44800,,40300,,,,,,,196000,228500,800000,907000,280000,182000,,
2025-09-02,32300,38800,25700,23200,30800,31300,36450,,,44800,,40200,,,,,,,196000,,801000,919000,282000,182000,,
2025-09-03,32200,38500,25700,23200,30800,31100,36400,,,44500,,40000,,,,,,,196000,,801000,918000,282000,182000,,
2025-09-04,32450,38500,25950,23550,31000,31100,36850,,,44500,,40400,,,,,,,196000,,796000,915000,282000,179000,,
2025-09-05,32450,38500,26050,23600,31000,31300,36950,47300,47300,44500,48600,40400,49500,500,510,56750,54400,54800,195000,,800000,920000,283000,180000,190000,338000
2025-09-06,32450,38500,26100,23700,31200,31700,37200,,,44500,,40700,,,,,,,,,,,,,,
2025-09-08,32800,38500,26650,24350,31300,31700,37600,,,44300,,40900,,,,,,,195000,,800000,920000,284000,180000,,
2025-09-09,32800,38500,26700,24250,31300,31900,37450,,,44300,,40800,,,,,,,195000,,800000,920000,283000,180000,,
2025-09-10,32800,38500,26600,24100,31300,31900,37100,,,44300,,40500,,,,,,,195000,,806000,925000,283000,180000,,
2025-09-11,32700,38500,26300,23800,31300,31400,36800,,,44100,,40300,,,,,,,195000,,810000,925000,285000,182000,,
2025-09-12,32600,38500,26200,23900,31300,31200,36850,47200,47200,44100,48300,40300,49350,505,510,56375,54400,54800,195000,,820000,925000,288000,181000,190000,340000
2025-09-13,32600,38500,26200,23950,31300,31200,36800,,,44100,,40300,,,,,,,,,,,,,,
2025-09-15,32600,38200,26000,24000,31200,31200,36750,,,44300,,40200,,,,,,,196000,,822000,935000,288000,180000,,
2025-09-16,32600,38200,26050,24000,31200,30900,36500,,,44400,,40200,,,,,,,196000,,822000,938000,290000,180000,,
2025-09-17,32300,38200,,,31200,30900,36500,,,44400,,40000,,,,,,,196000,,820000,935000,290000,181000,,
2025-09-18,32800,38200,26150,24400,31200,30900,36800,,,44400,,40500,,,,,,,196000,,815000,935000,288000,182000,,
2025-09-19,32500,38200,26450,24500,31200,30700,36950,47000,47000,44400,48000,40700,49150,505,500,56050,53900,54700,195000,,820000,928000,289000,181000,190000,345000
2025-09-20,32500,37800,26450,24300,31200,30700,36900,,,44400,,40600,,,,,,,,,,,,,,
2025-09-22,32450,37800,26300,24600,31200,30800,36950,,,44000,,40400,,,,,,,195000,,832000,935000,287000,181000,,
2025-09-23,32450,37800,26300,24800,31400,30800,37000,,,44000,,40500,,,,,,,194000,,827000,933000,287000,181000,,
2025-09-24,32350,37600,26200,24700,31400,30900,36750,,,44000,,40200,,,,,,,195000,,836000,935000,289000,181000,,
2025-09-25,32350,37600,26200,24600,31400,31000,36700,,,43700,,40200,,,,,,,195000,,861000,945000,295000,182000,,
2025-09-26,32300,37600,26000,24500,31400,31000,36600,46800,46800,43500,48000,40100,48900,510,500,56000,53800,54700,194000,,870000,970000,293000,180000,192000,345000
2025-09-27,32300,37600,26000,24450,30800,30800,36500,,,43300,,40100,,,,,,,,,,,,,,
2025-09-29,,37600,26000,24300,30700,30700,36350,,,43000,,39900,,,,,,,193000,,860000,960000,292000,180000,,
2025-09-30,,37600,25700,24100,30700,30500,36150,,,43000,,39700,,,,,,,193000,,864000,965000,292000,177000,,
2025-10-01,,37600,25600,24100,30700,30500,36200,,,43000,,39500,,,,,,,192000,231000,856500,965000,297000,177000,,
2025-10-03,32300,37600,25600,24000,30700,30500,36050,47200,47200,43000,48000,39500,48500,495,490,55800,53600,53700,192000,,862000,975000,302000,178000,192000,345000
2025-10-04,32300,37600,25500,23800,30700,30500,36000,,,43000,,39400,,,,,,,,,,,,,,
2025-10-06,32050,37600,25400,23600,30700,30300,35800,,,43000,,39100,,,,,,,192000,,892000,1000000,304000,178000,,
2025-10-07,32000,37600,25000,23350,30400,30300,35500,,,42700,,38900,,,,,,,192000,,890000,995000,302000,178000,,
2025-10-08,31950,37600,24900,23250,30400,30300,35450,,,42500,,38700,,,,,,,191000,,895000,1000000,304000,178000,,
2025-10-09,31850,37600,25000,23350,30100,30100,35600,,,42500,,38600,,,,,,,192000,,897000,1005000,304000,177000,,
2025-10-10,32000,37200,25250,23400,30000,30500,35500,47100,47100,42500,47900,38600,48300,495,495,55700,52500,53700,192000,,892000,1010000,302000,177000,192000,345000
2025-10-11,31900,37200,25250,23300,30000,30500,35450,,,42500,,38600,,,,,,,,,,,,,,
2025-10-13,31950,37200,24800,23100,30000,30200,35150,,,42500,,38200,,,,,,,191000,,880000,990000,304000,177000,,
2025-10-14,31700,37200,24700,23000,29900,30000,34900,,,42500,,37900,,,,,,,191000,,880000,1000000,304000,177000,,
2025-10-15,31600,37200,24500,22700,29900,30000,34800,,,42500,,37700,,,,,,,191000,,880000,1005000,302000,177000,,
2025-10-16,31500,37200,24500,22550,29900,30000,34850,,,42200,,37700,,,,,,,191000,,877000,1005000,302000,177000,,
2025-10-17,31500,37200,24500,22300,29900,29800,34800,46900,46900,42200,48000,37600,47850,490,495,55400,52400,52700,191000,,869000,1000000,302000,176000,190000,345000
2025-10-18,31500,37200,24300,22300,29900,30000,34800,,,42200,,37700,,,,,,,,,,,,,,
2025-10-23,31500,37200,24000,22100,29900,,34650,,,41800,,37400,,,,,,,191000,,872000,1000000,315000,176500,,
2025-10-24,31200,37000,24000,22050,29600,29800,34500,46800,46800,41500,,37400,,485,495,,,52700,191000,,872000,1000000,316000,177000,190000,345000
2025-10-25,31300,37000,24000,22150,29500,29800,34650,,,41300,,37400,,,,,,,,,,,,,,
2025-10-27,31000,37000,24000,22050,29600,30000,34500,,,41300,,37300,,,,,,,191000,,895000,1015000,317000,177000,,
2025-10-28,30900,37000,24000,22100,29600,29900,34450,,,41300,,37300,,,,,,,191000,,896000,1017000,314000,177000,,
2025-10-29,31250,37000,24100,22550,29800,29900,34800,,,41300,,37900,,,,,,,191000,,898000,1020000,317000,177000,,
2025-10-30,31300,37300,24200,22800,30000,30200,34950,,,41800,,38000,,,,,,,191000,,898000,1020000,318000,176000,,
2025-10-31,31500,37500,24700,23400,30200,30200,35550,47300,47300,42300,47800,39000,47200,485,495,55000,51800,52700,191000,,887000,1016000,317000,176000,186000,343000
2025-11-01,32000,37500,24700,23400,30200,30500,35550,,,42600,,39000,,,,,,,,231750,,,,,,
2025-11-03,32000,38500,24500,23150,30300,30300,35400,,,42700,,38500,,,,,,,190000,,887000,1016000,315000,176000,,
2025-11-04,32000,38300,24600,23250,30300,30300,35300,,,42900,,38400,,,,,,,190000,,880000,1007000,315000,175500,,
2025-11-05,31850,38300,24500,23050,30300,30700,35150,,,43000,,38100,,,,,,,190000,,881000,1010000,315000,176500,,
2025-11-06,31800,38000,24400,22800,30300,30300,34950,,,43000,,38000,,,,,,,190000,,881000,1008000,315000,176500,,
2025-11-07,31800,38000,24250,22750,30200,30100,34800,47800,47800,43000,47800,38000,47450,490,490,55400,52500,53000,189000,,877000,1005000,315000,176500,184000,340000
2025-11-08,31700,38000,24200,22650,30200,30000,34800,,,43000,,38000,,,,,,,,,,,,,,
2025-11-10,31850,38000,24100,22800,30200,29800,34900,,,42700,,38100,,,,,,,189000,,877000,1005000,317000,176700,,
2025-11-11,32000,38000,24250,23050,30300,30100,35100,,,42500,,38200,,,,,,,189000,,877000,1005000,318000,176600,,
2025-11-12,31800,38000,24200,22850,29800,30300,34950,,,42500,,38100,,,,,,,189000,,877000,1005000,320000,176700,,
2025-11-13,32000,38000,24250,23450,29700,30500,35400,,,42100,,38700,,,,,,,189000,,882000,1010000,320000,176900,,
2025-11-14,32250,38000,24500,23700,29700,30500,35450,47300,47300,42500,47700,38900,47000,485,480,55050,52300,53000,189000,,880000,1014000,318000,178000,184000,340000
2025-11-15,32600,38000,24650,23800,29700,30700,36000,,,42600,,39300,,,,,,,,,,,,,,
2025-11-17,32750,38300,24650,23900,29600,31000,35900,,,42600,,39400,,,,,,,189000,,877000,1010000,318000,178600,,
2025-11-18,32700,38300,24500,23750,29600,31000,35700,,,42700,,39200,,,,,,,188000,,877000,1010000,318000,178900,,
2025-11-19,32500,38300,24450,23600,29600,30900,35550,,,42700,,39000,,,,,,,188000,,875000,1005000,316000,178800,,
2025-11-20,32550,38300,24350,23750,29600,30800,35800,,,42700,,39200,,,,,,,188000,,881000,1008000,316000,178900,,
2025-11-21,32400,38300,24200,23550,29600,30800,35600,46600,46600,42700,47700,39000,46450,485,475,54750,51900,52700,188000,,877000,1005000,315000,179000,182000,338000
2025-11-22,32400,38300,24200,23650,29600,30800,35750,,,42700,,39400,,,,,,,,,,,,,,
2025-11-24,32350,38000,24100,23700,29800,30800,35850,,,42700,,39500,,,,,,,188000,,882000,1005000,315000,180100,,
2025-11-25,32350,38000,24000,23600,29800,30600,35950,,,42700,,39700,,,,,,,188000,,885000,1009000,315000,180200,,
2025-11-26,32400,38000,24300,23750,29800,30800,36250,,,42700,,40200,,,,,,,188000,,889000,1010000,315000,179700,,
2025-11-27,32400,38000,24200,23850,30000,31100,36350,,,42800,,40300,,,,,,,188000,,895000,1049000,315000,181000,,
2025-11-28,32300,38000,24200,23750,30000,31100,36150,46300,46300,42800,47500,40200,46100,495,475,54150,51700,52500,188000,,901000,1030000,315000,181800,180000,338000
2025-11-29,32350,38000,24200,23750,30000,31100,36250,,,42800,,40400,,,,,,,,,,,,,,
2025-12-01,32350,38000,24250,23900,30000,31300,36500,,,43100,,40800,,,,,,,188000,234250,945000,1070000,321000,181300,,
2025-12-02,32350,38000,24250,23900,30000,31300,36700,,,43400,,40700,,,,,,,188000,,945000,1070000,322400,181000,,
2025-12-03,32300,38000,24300,23900,30300,31200,36900,,,43700,,40800,,,,,,,188000,,945000,1070000,325000,183400,,
2025-12-04,32400,38000,24350,24050,30400,31500,37250,,,43900,,40900,,,,,,,188000,,960000,1080000,328000,184000,,
2025-12-05,32300,38000,24250,23850,30300,31500,37000,47000,47000,44100,47800,40800,45750,500,475,53900,51100,51700,190000,,968000,1090000,330000,183600,180000,337000
2025-12-06,32200,38000,24200,23800,30300,31300,36950,,,44300,,40700,,,,,,,,,,,,,,
2025-12-08,32200,38000,24050,23400,30300,31200,36650,,,44300,,40500,,,,,,,193000,,997000,1130000,330000,183000,,
2025-12-09,32200,37800,23850,23100,30300,30800,36450,,,44400,,40300,,,,,,,193000,,992000,1110000,330000,183000,,
2025-12-10,32250,38000,23800,23100,30300,30800,36550,,,44500,,40300,,,,,,,193000,,992000,1110000,327000,183000,,
2025-12-11,32100,38000,23700,22900,30300,31000,36350,,,44600,,40200,,,,,,,193000,,992000,1110000,327000,183000,,
2025-12-12,32100,38000,23600,22600,30300,30800,36150,47500,47500,44600,47800,40100,45850,495,470,53750,51100,51200,194000,,1005000,1130000,327000,183000,180000,333000
2025-12-13,32050,38000,23500,22450,30300,30600,36050,,,44600,,39900,,,,,,,,,,,,,,
2025-12-15,32000,38000,23700,22500,30300,,36350,,,44700,,40000,,,,,,,194000,,1005000,1115000,330000,183000,,
2025-12-16,32050,37700,23500,22700,30500,,36600,,,44800,,40400,,,,,,,195000,,1000000,1110000,320000,182300,,
2025-12-17,32100,37700,23550,22750,30500,31000,36750,,,45000,,40700,,,,,,,195000,,1007000,1120000,315000,184000,,
2025-12-18,32150,37500,23500,22550,30700,30800,36800,,,45200,,40700,,,,,,,195000,,1000000,1115000,314000,182000,,
2025-12-19,32350,37500,23800,22900,30900,30900,37350,47500,47500,45300,47700,41000,46800,490,465,54100,51100,51000,197000,,1005000,1130000,315000,181000,182000,335000
2025-12-20,32300,37500,23950,22850,30900,31000,37150,,,45300,,41000,,,,,,,,,,,,,,
2025-12-22,32800,37800,24150,23400,30900,31000,37900,,,45300,,41700,,,,,,,197000,,1012000,1135000,314000,180900,,
2025-12-23,33000,38000,24150,23200,31000,31300,37700,,,45500,,41700,,,,,,,197000,,1015000,1133000,315000,180900,,
2025-12-24,33100,38200,24300,23250,31000,31500,37800,,,45500,,41700,,,,,,,197000,,1055000,1155000,318000,180700,,
2025-12-26,33800,38500,24300,23150,31000,31600,37700,49000,49000,45600,48500,41500,48650,490,465,55300,52200,51400,201000,,1100000,1195000,317000,181000,182000,330000
2025-12-27,33800,38500,24300,23000,31000,31500,37700,,,45700,,41400,,,,,,,,,,,,,,
2025-12-29,34700,39000,25000,23850,31300,32100,39100,,,46700,,43000,,,,,,,204000,,1170000,1280000,321200,181000,,
2025-12-30,34700,39300,25350,23900,31300,32700,39000,,,47400,,43000,,,,,,,204000,,1160000,1285000,318000,181000,,
2025-12-31,34800,39500,25400,23850,31300,32300,39150,,,47600,,43300,,,,,,,204000,,1110000,1275000,318000,180000,,
2026-01-01,35750,40500,25500,24550,31500,33000,40450,,,48200,,44300,,,,,,,204000,249250,1100000,1265000,316000,180700,,
2026-01-02,36300,41000,25800,24950,31500,33300,41250,51900,51900,48800,50200,45000,50400,490,465,57000,53200,52000,204000,,1110000,1210000,316000,180800,184000,331000
2026-01-03,36300,41000,25800,24900,31800,34200,41000,,,49000,,45000,,,,,,,,,,,,,,
2026-01-05,36800,41000,25750,24500,31700,33000,40400,,,49000,,44200,,,,,,,204000,,1110000,1210000,317000,181700,,
2026-01-06,36750,40700,25350,24400,31700,32700,40100,,,49000,,44000,,,,,,,205000,,1130000,1250000,321000,183000,,
2026-01-07,36600,40500,25300,24000,31700,32500,39900,,,48800,,43600,,,,,,,205000,,1132000,1250000,321000,183300,,
2026-01-08,36550,40200,25000,23700,31700,32200,39500,,,48200,,43200,,,,,,,205000,,1110000,1235000,314000,184000,,
2026-01-09,36750,40600,25000,23700,31700,31500,39700,52500,52500,47900,50300,43400,50900,490,465,57000,54300,55000,205000,,1104000,1205000,316000,184000,190000,336000
2026-01-10,36250,40600,25000,23800,31700,31500,39700,,,48300,,43400,,,,,,,,,,,,,,
2026-01-12,35900,41000,25000,23650,31600,31500,39500,,,48300,,43100,,,,,,,207000,,1140000,1250000,317000,185000,,
2026-01-13,35900,41300,24900,23400,31700,31300,39300,,,48500,,43100,,,,,,,207000,,1140000,1255000,318000,185000,,
2026-01-14,36750,41500,25400,24300,32000,,40450,,,49100,,44000,,,,,,,207000,,1140000,1255000,321900,184800,,
2026-01-15,37250,42000,25900,24600,,31800,40650,,,,,44500,,,,,,,207000,,1128000,1250000,322000,186000,,
2026-01-16,37450,42000,26000,24550,32200,32800,40750,53800,53800,49800,51000,44400,51850,498,475,57450,55000,56100,207000,,1120000,1235000,320000,186000,190000,336000
2026-01-17,37650,42300,26000,25000,32300,33500,41500,,,50000,,45000,,,,,,,,,,,,,,
2026-01-19,38350,42500,26500,25400,32400,33500,41150,,,50300,,45000,,,,,,,206000,,1127000,1242000,320000,186000,,
2026-01-20,38000,42000,26250,25000,32300,33000,40850,,,50300,,44500,,,,,,,206000,,1120000,1232000,320000,187000,,
2026-01-21,37750,42000,26050,24800,32300,33000,40650,,,49900,,44200,,,,,,,207000,,1121000,1235000,319000,188000,,
2026-01-22,37650,42500,26200,24750,32300,32500,40600,,,49800,,44200,,,,,,,207000,,1115000,1230000,318000,188000,,
2026-01-23,37800,42500,26250,25100,32300,33000,41000,55300,55300,50100,52000,44500,52450,495,480,58000,55400,56800,207000,,1120000,1230000,320200,187100,190000,336000
2026-01-24,38000,42500,26350,25150,32300,33200,41000,,,50200,,44500,,,,,,,,,,,,,,
2026-01-27,38750,43000,26250,25200,32300,33200,40650,,,50300,,44300,,,,,,,207000,,1133000,1245000,326000,189000,,
2026-01-28,38500,43000,26000,25250,32300,33000,40650,,,50300,,44400,,,,,,,210000,,1140000,1245000,335300,189000,,
2026-01-29,38600,43000,26050,25650,32500,32500,40950,,,50500,,44600,,,,,,,211000,,1213250,1330000,347000,190000,,
2026-01-30,38250,43000,26300,25750,32700,32700,40800,56700,56700,50700,52300,44600,53250,495,480,58950,56300,56700,212000,,1216000,1320000,341900,190000,192000,340000
2026-01-31,38000,42700,26200,25700,32700,32700,40650,,,50800,,44500,,,,,,,,,,,,,,
2026-02-01,,,,,,,,,,,,,,,,,,,,258500,,,,,,
2026-02-02,38000,42700,26200,25500,32700,32800,40650,,,50800,,44400,,,,,,,211000,,1131000,1240000,330300,189000,,
2026-02-03,38250,42700,26400,25950,32700,32800,40950,,,50300,,44800,,,,,,,211000,,1168000,1260000,331800,190000,,
2026-02-04,38350,42700,26800,26700,32700,33100,41250,,,50300,,45300,,,,,,,211000,,1180000,1280000,332000,188000,,
2026-02-05,38450,42700,27000,26700,32800,33500,41000,,,50300,,45000,,,,,,,211000,,1155000,1258000,326500,188000,,
2026-02-06,38250,42700,27000,26750,32800,33300,41150,58100,58100,49600,54000,45200,53850,490,490,59700,58400,57800,211000,,1152000,1250000,326200,188200,192000,343000
2026-02-07,38600,42700,27300,27000,32900,33500,41800,,,49600,,45900,,,,,,,,,,,,,,
2026-02-09,38800,42700,27450,27550,33000,33500,41750,,,50000,,46200,,,,,,,213000,,1152000,1265000,333500,189000,,
2026-02-10,39000,42700,27550,27900,33500,33500,42200,,,50200,,46500,,,,,,,213000,,1152000,1260000,332300,189000,,
2026-02-11,38750,42700,27500,27700,33500,33500,41700,,,50200,,46100,,,,,,,213000,,1145000,1240000,333400,189000,,
2026-02-12,38700,42700,27500,27500,33500,33200,41550,,,49600,,46000,,,,,,,213000,,1150000,1245000,337000,189000,,
2026-02-13,38650,42700,27450,27450,33500,33000,41650,58600,58600,50000,54600,45800,53650,495,,59600,58100,58250,213000,,1130000,1237000,331000,190000,192000,343000
2026-02-14,38700,42500,27400,27600,33500,33300,41700,,,50000,,45800,,,,,,,,,,,,,,
2026-02-16,38600,42500,27500,27500,33800,33500,41300,,,50000,,45200,,,,,,,213000,,1127000,1231000,329000,190000,,
2026-02-17,38400,42500,27450,27300,34000,33300,41000,,,49600,,44800,,,,,,,213000,,,,327000,189900,,
2026-02-18,38300,42500,27350,27300,33600,33500,40800,,,49600,,44500,,,,,,,213000,,1110000,1230000,328000,188000,,
2026-02-19,38050,42550,27300,27100,33500,33500,40500,,,49400,,44200,,,,,,,213000,,1120000,1225000,332000,190000,,
2026-02-20,38050,42550,27050,26950,33500,33300,40550,58900,58900,49400,56000,44200,53650,495,485,59600,57800,58000,215000,,1120000,1225000,332000,186700,198000,348000
2026-02-21,38100,42500,27100,27000,33500,33500,40750,,,49400,,44300,,,,,,,,,,,,,,
2026-02-23,38000,42400,27250,26900,33500,33700,40500,,,49400,,44100,,,,,,,218000,,1130000,1230000,334300,186000,,
2026-02-24,37850,42400,27050,26500,33500,33600,40000,,,49400,,43800,,,,,,,218000,,1127000,1220000,337000,186000,,
2026-02-25,37600,42400,27000,26100,33500,33400,39900,,,49200,,43600,,,,,,,218500,,1132000,1250000,337000,186500,,
2026-02-26,37700,42400,27000,26100,33500,33400,39950,,,49200,,44000,,,,,,,218500,,1136000,1260000,334300,186400,,
2026-02-27,37550,42400,27000,25800,33100,33500,39750,59000,59000,49200,56300,43800,53850,495,485,59850,56200,58250,220000,,1136000,1260000,336000,185700,195000,348000
2026-02-28,37550,42200,26800,25650,33000,33100,39800,,,48800,,43900,,,,,,,,,,,,,,
2026-03-01,,,,,,,,,,,,,,,,,,,,300500,,,,,,
2026-03-02,38000,42700,28000,27500,33800,33400,41500,,,50200,,45700,,,,,,,223000,,1147000,1267000,337500,188000,,
